name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Livepeer,$0.9981,0.14,-0.15,-0.27,"$136,096,557","$502,696","566,230,295",https://coinmarketcap.com/currencies/livepeer/?period=7d,-3681.6
SKALE,$0.07792,0.17,-1.91,0.21,"$131,517,215","$25,738,531","7,024,695,758",https://coinmarketcap.com/currencies/skale-network/?period=7d,3544.48
Nervos Network,$0.02527,0.84,0.07,-3.09,"$129,394,320","$53,700,294","21,624,341,073",https://coinmarketcap.com/currencies/nervos-network/?period=7d,-158222.58
Celer Network,$33.16,0.96,-1.44,9.53,"$128,893,517","$22,504,772","16,328,269",https://coinmarketcap.com/currencies/celer-network/?period=7d,370432.82
DAO Maker,$0.172,0.61,1.96,1.54,"$128,659,640","$11,999,684","3,135,242,855",https://coinmarketcap.com/currencies/dao-maker/?period=7d,1151952.59
Alchemy Pay,$69.01,1.08,30.97,79.67,"$128,556,501","$245,323,995","7,746,640",https://coinmarketcap.com/currencies/alchemy-pay/?period=7d,1484146.71
Core,$0.1845,0.01,-0.94,2.71,"$127,285,451","$5,453,940","2,779,530,283",https://coinmarketcap.com/currencies/core-dao/?period=7d,186961.29
Reserve Rights,$0.0...08737,0.47,0.08,-4.07,"$126,892,554","$25,381,917","5,819,480,297,330",https://coinmarketcap.com/currencies/reserve-rights/?period=7d,-59110.99
Horizen,$56.59,0.18,-0.98,4.94,"$125,533,272","$11,361,645","8,844,854",https://coinmarketcap.com/currencies/horizen/?period=7d,109583.74
TerraClassicUSD,"$1,897.11",-0.08,0.01,-0.57,"$121,983,068","$5,075,527","254,218",https://coinmarketcap.com/currencies/terrausd/?period=7d,-366.51
Open Campus,"$1,919.66",-0.08,-0.11,-0.66,"$121,987,498","$15,093,273","246,524",https://coinmarketcap.com/currencies/open-campus/?period=7d,-419.41
DigiByte,$0.4971,0.25,0.99,2.58,"$120,257,968","$6,465,688","927,331,043",https://coinmarketcap.com/currencies/digibyte/?period=7d,62415.12
Stargate Finance,$0.03287,0.09,1.27,0.38,"$119,262,734","$1,586,444","13,847,097,377",https://coinmarketcap.com/currencies/stargate-finance/?period=7d,13787.6
Axelar,$0.0...04767,0.12,0.13,-1.23,"$119,161,519","$11,240,944","951,421,714,286,000",https://coinmarketcap.com/currencies/axelar/?period=7d,-30746.52
UMA,$2.73,0.3,-0.1,0.83,"$119,159,014","$11,874,204","162,233,844",https://coinmarketcap.com/currencies/uma/?period=7d,362278.32
Cartesi,$0.03957,-0.49,1.01,-1.94,"$116,504,583","$2,431,455","11,144,064,392",https://coinmarketcap.com/currencies/cartesi/?period=7d,-57118.75
MobileCoin,$0.2549,0.32,1.1,22.66,"$114,099,074","$23,153,222","1,715,806,619",https://coinmarketcap.com/currencies/mobilecoin/?period=7d,1014313.46
Everscale,$4.44,-0.01,2.3,4.69,"$116,085,790","$847,559","97,703,035",https://coinmarketcap.com/currencies/everscale/?period=7d,1226221.52
TomoChain,$38.18,0.37,1.1,9.6,"$110,313,348","$68,846,742","11,350,421",https://coinmarketcap.com/currencies/tomochain/?period=7d,277372.48
Lisk,$5.87,0.43,-1.39,0.24,"$104,917,076","$12,204,788","72,746,412",https://coinmarketcap.com/currencies/lisk/?period=7d,42896.25
Kyber Network Crystal v2,$0.7005,-0.5,2.6,-4.53,"$103,018,312","$113,355,175","582,598,088",https://coinmarketcap.com/currencies/kyber-network-crystal-v2/?period=7d,-66619.98
Synapse,$0.8749,0.14,-0.35,-4.53,"$102,682,135","$6,546,850","416,649,900",https://coinmarketcap.com/currencies/synapse-2/?period=7d,-53166.08
MiL.k,$1.08,0.44,1.55,8.88,"$100,830,583","$24,228,719","333,386,867",https://coinmarketcap.com/currencies/milk-alliance/?period=7d,8290514.6
Bitgert,$0.634,0.04,-0.66,-0.52,"$100,084,307","$2,904,935","560,000,011",https://coinmarketcap.com/currencies/bitrise-token/?period=7d,-82088.08
Pundi X (New),$0.02169,0.95,-0.02,7.03,"$99,987,548","$18,361,980","15,867,699,447",https://coinmarketcap.com/currencies/pundix-new/?period=7d,324072.14
Ribbon Finance,$1.58,0.07,-0.69,-1.29,"$99,309,400","$19,120,373","210,344,431",https://coinmarketcap.com/currencies/ribbon-finance/?period=7d,-810817.25
ABBC Coin,$2.13,0.4,-0.11,9.27,"$97,783,207","$34,814,067","156,256,174",https://coinmarketcap.com/currencies/abbc-coin/?period=7d,4255635.35
Dogelon Mars,$0.2426,0.81,2.78,2.39,"$97,381,094","$16,948,914","1,331,523,612",https://coinmarketcap.com/currencies/dogelon/?period=7d,95936.03
iExec RLC,$0.3127,0.56,0.24,5.61,"$97,303,053","$10,704,528","1,000,000,000",https://coinmarketcap.com/currencies/rlc/?period=7d,174566.72
Lido Staked ETH,"$30,699.66",0.11,0.37,1.42,"$14,494,304,939","$10,578,870,857","19,418,337",https://coinmarketcap.com/currencies/steth/?period=7d,6704.28
FantasyGold,"$1,941.85",0.11,1.03,3.13,"$305,277,301","$6,396,041,767","120,218,755",https://coinmarketcap.com/currencies/fantasygold/?period=7d,4920.66
Wrapped TRON,$0.9999,-0.02,-0.02,-0.05,"$304,986,221","$20,142,450,693","83,341,708,027",https://coinmarketcap.com/currencies/wrapped-tron/?period=7d,-1525.08
Cryptonex,$117.51,0.08,-0.55,1.51,"$2,441,216,129","$2,595,539","2,589,588",https://coinmarketcap.com/currencies/cryptonex/?period=7d,313695.55
Bitcoin BEP2,$3.69,0.11,3.18,3.35,"$1,646,624,602","$109,101,844","27,392,427,870",https://coinmarketcap.com/currencies/bitcoin-bep2/?period=7d,14949030.94
Wrapped HBAR,$3.83,0.65,2.37,1.95,"$1,617,726,189","$5,342,416","78,496,602",https://coinmarketcap.com/currencies/wrapped-hedera/?period=7d,8236464.93
HEX,$0.2916,-0.33,0.09,1.35,"$1,307,848,652","$187,751,897","34,949,879,292",https://coinmarketcap.com/currencies/hex/?period=7d,605485.49
Frax,$0.06779,-0.18,-0.02,3.07,"$1,003,938,418","$343,383,838","140,013,696,384",https://coinmarketcap.com/currencies/frax/?period=7d,454652.74
Wrapped EOS,$113.37,0.75,6.16,30.28,"$292,411,229","$1,718,150,601","73,276,977",https://coinmarketcap.com/currencies/wrapped-eos/?period=7d,781001.32
Bitget Token,$19.34,-0.63,2.89,15.94,"$279,093,975","$479,488,685","400,893,819",https://coinmarketcap.com/currencies/bitget-token-new/?period=7d,2300288.5
Radix,$0.07605,0.22,-1.46,4.54,"$648,052,023","$141,225,124","89,909,195,258",https://coinmarketcap.com/currencies/radix-protocol/?period=7d,386871.29
Wrapped BNB,$5.54,0.44,3.91,8.55,"$270,750,466","$162,906,046","1,201,018,265",https://coinmarketcap.com/currencies/wbnb/?period=7d,4178549.61
TNC Coin,$0.6837,-0.33,1.46,4.19,"$5,450,735","$250,495,992","9,319,469,069",https://coinmarketcap.com/currencies/tnc-coin/?period=7d,3340.44
FTX Token,$296.43,-0.03,4.34,56.16,"$577,646,085","$1,370,641,736","19,438,213",https://coinmarketcap.com/currencies/ftx-token/?period=7d,1094376.55
BitTorrent,$1.43,-0.34,1.58,-0.04,"$470,328","$9,277,600","3,431,892,088",https://coinmarketcap.com/currencies/bittorrent/?period=7d,-131.56
Kaspa,"$30,652.29",0.06,0.24,1.61,"$477,038,789","$98,334,502","157,076",https://coinmarketcap.com/currencies/kaspa/?period=7d,250.56
Wrapped Kava,$1.00,0.02,0.01,0.02,"$471,904,728",--,"4,647,521,448",https://coinmarketcap.com/currencies/wrapped-kava/?period=7d,94380.95
FLEX,$13.15,0.17,1.66,-0.48,"$254,042,603","$138,944,556","345,635,799",https://coinmarketcap.com/currencies/flex/?period=7d,-92730.38
USDJ,$0.0...07665,0.15,0.69,-0.72,"$299,489,487","$102,358,416","589,347,994,264,351",https://coinmarketcap.com/currencies/usdj/?period=7d,-28132.08
Liquity USD,$1.00,0.0,0.01,0.0,"$283,595,520","$2,233,144,665","4,132,947,952",https://coinmarketcap.com/currencies/liquity-usd/?period=7d,0.0
Beldex,$3.93,0.52,-5.66,2.28,"$283,601,334","$1,794,682","929,938,144",https://coinmarketcap.com/currencies/beldex/?period=7d,1645320.72
Huobi BTC,$6.53,-0.66,1.27,7.0,"$241,982,184","$227,607,605","538,099,970",https://coinmarketcap.com/currencies/huobi-btc/?period=7d,2593989.72
tomiNet,$9.61,0.18,0.66,3.39,"$239,228,053","$65,962,483","346,608,690",https://coinmarketcap.com/currencies/tominet/?period=7d,843895.0
DeFiChain,$5.57,-0.01,0.12,4.53,"$261,089,006","$84,003,753","577,501,036",https://coinmarketcap.com/currencies/defichain/?period=7d,2123398.92
Baby Doge Coin,$167.68,-0.81,1.24,4.66,"$236,168,874","$55,706,349","18,299,933",https://coinmarketcap.com/currencies/baby-doge-coin/?period=7d,65633.76
WEMIX,$0.9994,0.04,0.01,-0.06,"$211,617,825","$1,304,797,556","3,057,058,171",https://coinmarketcap.com/currencies/wemix/?period=7d,-1270.47
Edgecoin,$0.1074,-0.14,0.6,17.45,"$232,437,479","$63,483,023","27,024,620,561",https://coinmarketcap.com/currencies/edgecoin/?period=7d,3776567.98
FINSCHIA,$20.33,0.58,-0.88,13.36,"$233,350,950","$296,218,892","141,741,234",https://coinmarketcap.com/currencies/finschia/?period=7d,1533481.89
Ronin,$44.55,0.13,0.13,0.27,"$195,887,743","$2,305,268","60,000,000",https://coinmarketcap.com/currencies/ronin/?period=7d,11871.98
Pendle,$2.10,-1.22,-2.86,10.68,"$191,230,731","$45,928,279","879,907,992",https://coinmarketcap.com/currencies/pendle/?period=7d,9725448.61
Symbol,$4.18,0.39,-0.28,-1.4,"$166,494,565","$11,467,659","437,669,984",https://coinmarketcap.com/currencies/symbol/?period=7d,-557637.3
LUKSO,$4.11,0.31,0.55,1.62,"$163,820,512","$122,576,150","433,162,281",https://coinmarketcap.com/currencies/lukso/?period=7d,645715.89
Tribe,$0.05003,-0.03,-1.32,-2.63,"$151,500,970","$18,652,872","32,249,146,929",https://coinmarketcap.com/currencies/tribe/?period=7d,-79641.73
Ordinals,$7.37,0.56,0.04,-0.97,"$149,073,204","$112,185,515","208,951,236",https://coinmarketcap.com/currencies/ordinals/?period=7d,-196202.18
Wrapped Beacon ETH,$0.02068,0.54,0.96,15.32,"$207,569,680","$39,682,875","72,714,516,834",https://coinmarketcap.com/currencies/wrapped-beacon-eth/?period=7d,1537701.88
STASIS EURO,$1.16,0.39,0.77,5.99,"$200,869,620","$153,452,301","1,275,000,000",https://coinmarketcap.com/currencies/stasis-euro/?period=7d,10372491.58
SwissBorg,$0.05683,-0.24,-1.14,-1.84,"$130,983,298","$10,016,687","25,263,013,692",https://coinmarketcap.com/currencies/swissborg/?period=7d,-42408.81
Gains Network,$1.47,0.92,0.27,7.34,"$129,839,905","$56,489,298","927,341,457",https://coinmarketcap.com/currencies/gains-network/?period=7d,6483162.6
Polymath,$110.32,0.18,-1.57,4.8,"$199,732,726","$17,158,111","12,072,738",https://coinmarketcap.com/currencies/polymath-network/?period=7d,86903.29
inSure DeFi,$0.1216,0.87,13.12,9.85,"$107,671,172","$142,069,060","9,064,215,381",https://coinmarketcap.com/currencies/insure/?period=7d,872171.91
Rootstock Smart Bitcoin,$70.99,-0.69,3.99,5.78,"$107,816,575","$129,685,343","14,458,390",https://coinmarketcap.com/currencies/rsk-smart-bitcoin/?period=7d,87784.17
Metars Genesis,$1.01,0.05,0.55,1.22,"$197,044,337","$3,980,368","986,890,936",https://coinmarketcap.com/currencies/metars-genesis/?period=7d,2380139.52
Maverick Protocol,$0.7138,-0.62,2.82,-4.74,"$106,382,276","$62,468,844","1,389,669,308",https://coinmarketcap.com/currencies/maverick-protocol/?period=7d,-70643.32
Astrafer,$49.32,0.02,-2.66,34.93,"$196,469,330","$134,644,819","19,266,077",https://coinmarketcap.com/currencies/astrafer/?period=7d,1391458.58
ONUS,$0.123,-0.36,-2.94,-7.62,"$195,537,441",--,"7,382,548,588",https://coinmarketcap.com/currencies/onus/?period=7d,-12113782.93
Keep Network,$35.18,-0.07,-0.34,3.4,"$97,573,631","$10,461,695","25,644,276",https://coinmarketcap.com/currencies/keep-network/?period=7d,94300.84
VVS Finance,$0.3146,0.38,1.41,2.54,"$96,995,955","$63,224,617","2,799,292,903",https://coinmarketcap.com/currencies/vvs-finance/?period=7d,78312.06
OriginTrail,$0.2444,0.44,-1.22,-5.68,"$96,950,497","$83,958,178","396,720,350",https://coinmarketcap.com/currencies/origintrail/?period=7d,-225318.67
Nano,$0.7271,0.07,-0.92,2.04,"$96,884,870","$65,006,210","133,248,297",https://coinmarketcap.com/currencies/nano/?period=7d,27182.66
Centrifuge,$0.2056,0.47,-2.07,8.29,"$96,250,727","$88,154,075","875,249,524",https://coinmarketcap.com/currencies/centrifuge/?period=7d,388092.67
Galxe,$1.29,-0.12,0.41,-3.28,"$96,068,778","$142,197,040","74,682,666",https://coinmarketcap.com/currencies/galxe/?period=7d,-2442679.01
SPACE ID,$0.2831,0.38,0.22,-8.94,"$95,786,681","$16,386,888","338,350,955",https://coinmarketcap.com/currencies/space-id/?period=7d,-302484.26
Telcoin,$2.19,0.68,-2.47,-5.71,"$95,284,175","$73,813,298","368,593,750",https://coinmarketcap.com/currencies/telcoin/?period=7d,-2484349.95
APENFT,$0.0...03426,-0.08,-1.54,7.37,"$94,938,041","$13,571,125","277,080,562,500,000",https://coinmarketcap.com/currencies/apenft/?period=7d,204230.4
OMG Network,$0.7578,0.39,2.52,4.03,"$93,908,543","$15,681,541","1,040,385,513",https://coinmarketcap.com/currencies/omg/?period=7d,49940.81
Syscoin,$0.7376,5.69,5.99,36.12,"$93,559,465","$359,944,430","1,036,200,000",https://coinmarketcap.com/currencies/syscoin/?period=7d,458157.25
USDX [Kava],$0.4062,0.15,-0.78,5.54,"$93,245,283","$57,748,133","1,893,095,371",https://coinmarketcap.com/currencies/usdx-kava/?period=7d,127173.53
Wilder World,$0.7692,0.21,1.19,2.63,"$93,169,565","$14,152,950","1,000,000,000",https://coinmarketcap.com/currencies/wilder-world/?period=7d,31855.95
API3,$2.03,0.26,-1.06,-0.02,"$93,290,082","$37,692,567","368,852,897",https://coinmarketcap.com/currencies/api3/?period=7d,-9191.14
NYM,$6.23,0.1,-1.38,9.05,"$92,549,796","$52,107,679","119,173,159",https://coinmarketcap.com/currencies/nym/?period=7d,1344423.2
Status,$38.48,1.59,3.1,0.81,"$92,491,317","$7,677,400","19,474,470",https://coinmarketcap.com/currencies/status/?period=7d,19469.33
Rootstock Infrastructure Framework,$0.9993,0.08,0.0,0.1,"$92,571,130","$18,072,711","738,574,277",https://coinmarketcap.com/currencies/rsk-infrastructure-framework/?period=7d,926.36
Chromia,$8.77,0.82,0.24,26.7,"$90,791,747","$56,233,850","80,005,555",https://coinmarketcap.com/currencies/chromia/?period=7d,2764127.3
Vulcan Forged PYR,$0.0...03601,-0.94,-3.27,52.64,"$90,095,311","$154,361,074","19,432,423,423,293",https://coinmarketcap.com/currencies/vulcan-forged-pyr/?period=7d,1317027.82
PlayDapp,$9.55,-0.38,-2.51,7.76,"$89,915,224","$54,193,916","70,538,831",https://coinmarketcap.com/currencies/playdapp/?period=7d,730620.04
AVINOC,$0.7726,0.64,-0.17,11.77,"$89,173,562","$27,613,086","866,996,559",https://coinmarketcap.com/currencies/avinoc/?period=7d,135849.45
Liquity,$6.74,0.36,1.41,1.35,"$89,052,924","$1,626,659","96,794,195",https://coinmarketcap.com/currencies/liquity/?period=7d,178370.1
Wrapped NXM,$2.34,-0.02,2.86,8.54,"$87,330,866","$46,111,948","264,400,311",https://coinmarketcap.com/currencies/wrapped-nxm/?period=7d,3187203.4
Metal DAO,$0.0...00157,-0.77,1.39,1.78,"$86,381,246","$105,428,163","391,790,000,000,000",https://coinmarketcap.com/currencies/metal/?period=7d,979354.25
Amp,$0.2037,-0.19,-1.49,-10.01,"$86,349,328","$60,621,292","2,979,621,110",https://coinmarketcap.com/currencies/amp/?period=7d,-424328.31
Stella,$0.9537,0.16,0.9,-8.75,"$86,220,460","$16,881,162","605,374,838",https://coinmarketcap.com/currencies/alpha-finance-lab/?period=7d,-79105.49
MetisDAO,$0.9981,0.14,-0.15,-0.27,"$85,362,015","$502,696","566,230,295",https://coinmarketcap.com/currencies/metisdao/?period=7d,-2309.16
Coin98,$0.07792,0.17,-1.91,0.21,"$85,103,097","$25,738,531","7,024,695,758",https://coinmarketcap.com/currencies/coin98/?period=7d,2293.59
Polymesh,$0.02527,0.84,0.07,-3.09,"$84,892,700","$53,700,294","21,624,341,073",https://coinmarketcap.com/currencies/polymesh/?period=7d,-103806.27
Numeraire,$33.16,0.96,-1.44,9.53,"$84,463,340","$22,504,772","16,328,269",https://coinmarketcap.com/currencies/numeraire/?period=7d,242742.95
Civic,$0.172,0.61,1.96,1.54,"$84,377,709","$11,999,684","3,135,242,855",https://coinmarketcap.com/currencies/civic/?period=7d,755474.84
dKargo,$69.01,1.08,30.97,79.67,"$83,998,358","$245,323,995","7,746,640",https://coinmarketcap.com/currencies/dkargo/?period=7d,969736.15
Radiant Capital,$0.1845,0.01,-0.94,2.71,"$84,053,132","$5,453,940","2,779,530,283",https://coinmarketcap.com/currencies/radiant-capital/?period=7d,123460.16
Energy Web Token,$0.0...08737,0.47,0.08,-4.07,"$83,853,560","$25,381,917","5,819,480,297,330",https://coinmarketcap.com/currencies/energy-web-token/?period=7d,-39061.92
VeThor Token,$56.59,0.18,-0.98,4.94,"$83,471,595","$11,361,645","8,844,854",https://coinmarketcap.com/currencies/vethor-token/?period=7d,72866.17
Ontology Gas,"$1,897.11",-0.08,0.01,-0.57,"$80,656,126","$5,075,527","254,218",https://coinmarketcap.com/currencies/ontology-gas/?period=7d,-242.34
Radicle,"$1,919.66",-0.08,-0.11,-0.66,"$80,175,524","$15,093,273","246,524",https://coinmarketcap.com/currencies/radicle/?period=7d,-275.65
XPLA,$0.4971,0.25,0.99,2.58,"$79,594,719","$6,465,688","927,331,043",https://coinmarketcap.com/currencies/xpla/?period=7d,41310.48
Steem,$0.03287,0.09,1.27,0.38,"$79,442,931","$1,586,444","13,847,097,377",https://coinmarketcap.com/currencies/steem/?period=7d,9184.15
Dent,$0.0...04767,0.12,0.13,-1.23,"$79,274,215","$11,240,944","951,421,714,286,000",https://coinmarketcap.com/currencies/dent/?period=7d,-20454.64
MediBloc,$2.73,0.3,-0.1,0.83,"$78,594,368","$11,874,204","162,233,844",https://coinmarketcap.com/currencies/medibloc/?period=7d,238949.91
DeXe,$0.03957,-0.49,1.01,-1.94,"$77,662,780","$2,431,455","11,144,064,392",https://coinmarketcap.com/currencies/dexe/?period=7d,-38075.76
Request,$0.2549,0.32,1.1,22.66,"$77,481,979","$23,153,222","1,715,806,619",https://coinmarketcap.com/currencies/request/?period=7d,688796.25
STP,$4.44,-0.01,2.3,4.69,"$77,454,214","$847,559","97,703,035",https://coinmarketcap.com/currencies/standard-tokenization-protocol/?period=7d,818153.75
Hashflow,$38.18,0.37,1.1,9.6,"$77,067,172","$68,846,742","11,350,421",https://coinmarketcap.com/currencies/hashflow/?period=7d,193778.12
Linear Finance,$5.87,0.43,-1.39,0.24,"$76,170,298","$12,204,788","72,746,412",https://coinmarketcap.com/currencies/linear/?period=7d,31142.88
Orbs,$0.7005,-0.5,2.6,-4.53,"$76,240,855","$113,355,175","582,598,088",https://coinmarketcap.com/currencies/orbs/?period=7d,-49303.51
Vibing,$0.8749,0.14,-0.35,-4.53,"$75,828,985","$6,546,850","416,649,900",https://coinmarketcap.com/currencies/vibing/?period=7d,-39262.24
NKN,$1.08,0.44,1.55,8.88,"$75,862,998","$24,228,719","333,386,867",https://coinmarketcap.com/currencies/nkn/?period=7d,6237624.28
Decentralized Social,$0.634,0.04,-0.66,-0.52,"$75,539,640","$2,904,935","560,000,011",https://coinmarketcap.com/currencies/deso/?period=7d,-61956.8
Merit Circle,$0.02169,0.95,-0.02,7.03,"$75,523,934","$18,361,980","15,867,699,447",https://coinmarketcap.com/currencies/merit-circle/?period=7d,244782.51
Artificial Liquid Intelligence,$1.58,0.07,-0.69,-1.29,"$75,233,838","$19,120,373","210,344,431",https://coinmarketcap.com/currencies/alethea-artificial-liquid-intelligence-token/?period=7d,-614250.96
Prom,$2.13,0.4,-0.11,9.27,"$73,576,527","$34,814,067","156,256,174",https://coinmarketcap.com/currencies/prom/?period=7d,3202133.36
Gitcoin,$0.2426,0.81,2.78,2.39,"$72,606,899","$16,948,914","1,331,523,612",https://coinmarketcap.com/currencies/gitcoin/?period=7d,71529.47
Smooth Love Potion,$0.001731,0.18,-0.06,-0.37,"$72,470,416","$5,383,220","41,878,287,216",https://coinmarketcap.com/currencies/smooth-love-potion/?period=7d,-15490.5
