name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
Quant,$110.32,0.18,-1.57,4.8,"$1,339,085,330","$17,158,111","12,072,738",https://coinmarketcap.com/currencies/quant/?period=7d,582633.21
The Graph,$0.1216,0.87,13.12,9.85,"$1,101,957,050","$142,069,060","9,064,215,381",https://coinmarketcap.com/currencies/the-graph/?period=7d,8926214.59
Aave,$70.99,-0.69,3.99,5.78,"$1,026,412,952","$129,685,343","14,458,390",https://coinmarketcap.com/currencies/aave/?period=7d,835704.59
Pax Dollar,$1.01,0.05,0.55,1.22,"$986,466,369","$3,980,368","986,890,936",https://coinmarketcap.com/currencies/paxos-standard/?period=7d,11915732.38
Stacks,$0.7138,-0.62,2.82,-4.74,"$990,529,450","$62,468,844","1,389,669,308",https://coinmarketcap.com/currencies/stacks/?period=7d,-657762.62
Bitcoin SV,$49.32,0.02,-2.66,34.93,"$950,225,696","$134,644,819","19,266,077",https://coinmarketcap.com/currencies/bitcoin-sv/?period=7d,6729802.02
Algorand,$0.123,-0.36,-2.94,-7.62,"$911,431,314","$41,134,479","7,382,548,588",https://coinmarketcap.com/currencies/algorand/?period=7d,-56464281.4
MultiversX,$35.18,-0.07,-0.34,3.4,"$905,269,871","$10,461,695","25,644,276",https://coinmarketcap.com/currencies/multiversx-egld/?period=7d,874905.5
Fantom,$0.3146,0.38,1.41,2.54,"$883,430,225","$63,224,617","2,799,292,903",https://coinmarketcap.com/currencies/fantom/?period=7d,713258.99
Optimism,$1.34,0.44,-0.64,2.89,"$864,055,292","$83,958,178","644,594,782",https://coinmarketcap.com/currencies/optimism-ethereum/?period=7d,18635222.34
Maker,$857.63,0.07,3.1,23.6,"$846,764,762","$65,006,210","977,631",https://coinmarketcap.com/currencies/maker/?period=7d,233010.14
The Sandbox,$0.4463,0.47,-1.73,3.66,"$834,439,906","$88,154,075","1,869,731,926",https://coinmarketcap.com/currencies/the-sandbox/?period=7d,684304.29
EOS,$0.7571,-0.12,-2.28,7.26,"$832,788,435","$142,197,040","1,095,662,031",https://coinmarketcap.com/currencies/eos/?period=7d,798579.32
BitDAO,$0.4465,0.38,6.59,4.65,"$824,025,926","$16,386,888","1,843,669,839",https://coinmarketcap.com/currencies/bitdao/?period=7d,858168.1
ApeCoin,$2.19,0.68,-2.47,-5.71,"$807,956,811","$73,813,298","368,593,750",https://coinmarketcap.com/currencies/apecoin-ape/?period=7d,-21065905.89
Tezos,$0.8366,-0.08,1.63,2.78,"$789,607,969","$13,571,125","943,816,251",https://coinmarketcap.com/currencies/tezos/?period=7d,262384.67
Immutable,$0.7578,0.39,2.52,4.03,"$788,453,127","$15,681,541","1,040,385,513",https://coinmarketcap.com/currencies/immutable-x/?period=7d,419301.41
Flow,$0.7376,5.69,5.99,36.12,"$764,255,257","$359,944,430","1,036,200,000",https://coinmarketcap.com/currencies/flow/?period=7d,3742529.81
Decentraland,$0.4062,0.15,-0.78,5.54,"$768,997,366","$57,748,133","1,893,095,371",https://coinmarketcap.com/currencies/decentraland/?period=7d,1048804.88
Theta Network,$0.7692,0.21,1.19,2.63,"$769,241,716","$14,152,950","1,000,000,000",https://coinmarketcap.com/currencies/theta-network/?period=7d,263014.26
Render Token,$2.03,0.26,-1.06,-0.02,"$750,046,906","$37,692,567","368,852,897",https://coinmarketcap.com/currencies/render-token/?period=7d,-73896.25
Axie Infinity,$6.23,0.1,-1.38,9.05,"$744,291,080","$52,107,679","119,173,159",https://coinmarketcap.com/currencies/axie-infinity/?period=7d,10811933.02
Rocket Pool,$38.48,1.59,3.1,0.81,"$748,848,524","$7,677,400","19,474,470",https://coinmarketcap.com/currencies/rocket-pool/?period=7d,157631.84
